City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Palana,RU,2020-02-23 01:01:13,59.12,159.97,8.98,90,100,9.95
70,Kushmurun,KZ,2020-02-23 01:01:14,52.45,64.63,18.63,95,87,3.98
71,Kokkola,FI,2020-02-23 01:01:14,63.83,23.08,34.0,86,90,10.29
72,Pestera,RO,2020-02-23 01:01:14,44.18,28.13,36.0,100,0,6.93
73,Ginda,IN,2020-02-23 01:01:14,30.69,78.49,42.3,58,0,4.97
74,Baykit,RU,2020-02-23 01:01:14,61.67,96.37,9.41,95,99,2.42
75,Komarichi,RU,2020-02-23 01:01:15,52.42,34.79,32.45,82,100,18.72
76,Cocachacra,PE,2020-02-23 01:01:15,-17.09,-71.76,70.86,81,89,2.28
77,Klaksvik,FO,2020-02-23 00:52:16,62.23,-6.59,33.8,74,82,1.12
78,Rio Muerto,MX,2020-02-23 01:01:15,27.42,-110.23,77.0,44,90,9.17
79,Havre-Saint-Pierre,CA,2020-02-23 01:01:16,50.23,-63.6,26.6,86,75,11.41
80,Puerto Ayora,EC,2020-02-23 01:01:16,-0.74,-90.35,80.6,83,40,11.41
81,Lethem,GY,2020-02-23 01:01:16,3.38,-59.8,89.38,33,26,11.16
82,Butaritari,KI,2020-02-23 00:51:41,3.07,172.79,84.13,75,69,7.9
83,Karratha,AU,2020-02-23 00:52:47,-20.74,116.85,80.91,69,1,13.15
84,Miyako,JP,2020-02-23 01:01:17,39.64,141.95,38.86,59,10,22.55
85,Atar,MR,2020-02-23 00:53:11,20.52,-13.05,72.59,13,100,2.57
86,Nikolskoye,RU,2020-02-23 00:51:43,59.7,30.79,37.4,86,75,20.13
87,Port Antonio,JM,2020-02-23 01:01:18,18.18,-76.46,80.6,74,75,5.82
88,Saint-Augustin,CA,2020-02-23 00:53:22,51.23,-58.65,21.38,89,96,21.79
89,Sivaki,RU,2020-02-23 01:01:18,52.63,126.75,-0.85,97,41,3.33
90,Bengkulu,ID,2020-02-23 00:52:08,-3.8,102.27,74.16,85,0,4.29
91,Saldanha,ZA,2020-02-23 00:52:42,-33.01,17.94,66.2,63,44,8.05
92,Zabaykalsk,RU,2020-02-23 01:01:19,49.63,117.32,4.64,92,99,3.6
93,Merauke,ID,2020-02-23 01:01:20,-8.47,140.33,83.05,78,100,9.1
94,Kapaa,US,2020-02-23 00:51:51,22.08,-159.32,78.8,61,40,8.05
95,Mabaruma,GY,2020-02-23 01:01:20,8.2,-59.78,73.8,85,56,4.38
96,Sur,OM,2020-02-23 00:52:09,22.57,59.53,67.03,83,79,2.46
97,Longyearbyen,SJ,2020-02-23 00:52:11,78.22,15.64,-2.2,77,20,11.41
98,Sao Felix Do Xingu,BR,2020-02-23 01:01:21,-6.64,-51.99,74.25,94,100,0.65
99,Ancud,CL,2020-02-23 00:49:58,-41.87,-73.82,66.2,63,0,3.36
100,Hithadhoo,MV,2020-02-23 00:51:53,-0.6,73.08,82.83,78,97,14.43
101,Straumen,NO,2020-02-23 01:01:21,63.87,11.3,37.99,92,90,26.4
102,Selkirk,CA,2020-02-23 01:01:21,50.14,-96.88,30.2,74,20,6.93
103,Mataura,NZ,2020-02-23 00:51:41,-46.19,168.86,61.0,76,49,15.99
104,Hilo,US,2020-02-23 00:47:09,19.73,-155.09,82.4,54,1,13.87
105,Vardo,NO,2020-02-23 00:52:33,70.37,31.11,33.89,80,20,16.53
106,Torbay,CA,2020-02-23 00:50:43,47.67,-52.73,26.01,79,75,18.34
107,Nanakuli,US,2020-02-23 01:01:23,21.39,-158.15,80.6,65,75,8.05
108,Mar Del Plata,AR,2020-02-23 00:52:05,-38.0,-57.56,60.01,87,0,3.36
109,Samarai,PG,2020-02-23 01:01:23,-10.62,150.67,87.53,66,76,5.55
110,Shitanjing,CN,2020-02-23 01:01:23,39.23,106.34,28.65,38,0,0.36
111,Villa Sandino,NI,2020-02-23 01:01:23,12.05,-84.99,74.84,74,40,13.29
112,Ust-Ilimsk,RU,2020-02-23 01:01:24,58.0,102.66,8.46,96,98,3.53
113,Lompoc,US,2020-02-23 01:01:22,34.64,-120.46,63.0,67,75,10.29
114,Canon City,US,2020-02-23 00:52:41,38.44,-105.24,53.6,65,90,4.7
115,Zhezkazgan,KZ,2020-02-23 01:01:24,47.8,67.71,15.55,93,100,5.35
116,Manzhouli,CN,2020-02-23 01:01:24,49.6,117.43,4.64,92,99,3.6
117,New Norfolk,AU,2020-02-23 00:51:50,-42.78,147.06,73.0,42,20,5.82
118,Vallenar,CL,2020-02-23 01:01:25,-28.57,-70.76,59.52,87,0,4.14
119,Guerrero Negro,MX,2020-02-23 00:53:20,27.98,-114.06,62.49,74,100,17.02
120,Malia,GR,2020-02-23 01:01:26,35.28,25.47,52.0,62,75,19.46
121,Astara,AZ,2020-02-23 01:01:26,38.5,48.67,33.44,81,47,4.09
122,Castro,BR,2020-02-23 00:51:57,-24.79,-50.01,61.02,91,63,9.91
123,Vostok,RU,2020-02-23 01:01:26,46.49,135.88,10.56,94,100,5.12
124,Devonport,AU,2020-02-23 01:01:26,-41.17,146.35,71.01,61,11,7.0
125,Souillac,MU,2020-02-23 00:52:04,-20.52,57.52,75.99,94,20,2.24
126,Teahupoo,PF,2020-02-23 00:53:29,-17.83,-149.27,86.0,74,40,16.11
127,Povenets,RU,2020-02-23 01:01:27,62.85,34.83,32.0,96,100,20.65
128,Port Blair,IN,2020-02-23 00:52:54,11.67,92.75,80.6,83,40,4.7
129,Henties Bay,NA,2020-02-23 00:52:29,-22.12,14.28,64.0,89,7,5.06
130,Matara,LK,2020-02-23 01:01:28,5.95,80.54,74.19,85,100,6.46
131,Tuktoyaktuk,CA,2020-02-23 00:52:13,69.45,-133.04,3.2,77,90,4.7
132,Paradise Valley,US,2020-02-23 00:56:29,33.53,-111.94,68.0,59,90,10.29
133,Sibolga,ID,2020-02-23 00:57:44,1.74,98.78,69.57,87,0,3.62
134,Alenquer,BR,2020-02-23 01:01:29,-1.94,-54.74,77.0,94,20,2.57
135,Port Elizabeth,ZA,2020-02-23 00:51:46,-33.92,25.57,59.0,77,20,5.82
136,Sitka,US,2020-02-23 00:51:41,57.05,-135.33,35.6,80,90,6.93
137,Neuquen,AR,2020-02-23 01:01:29,-38.95,-68.06,77.0,31,0,5.82
138,Bredasdorp,ZA,2020-02-23 00:51:57,-34.53,20.04,62.6,67,59,6.93
139,Lazaro Cardenas,MX,2020-02-23 00:53:02,17.96,-102.2,80.67,65,0,5.88
140,Santa Cruz,BO,2020-02-23 01:01:30,-17.8,-63.17,71.6,64,40,8.05
141,Nokaneng,BW,2020-02-23 01:01:30,-19.67,22.27,74.46,68,85,5.93
142,Busselton,AU,2020-02-23 00:47:47,-33.65,115.33,81.0,45,16,10.92
143,Playa Del Carmen,MX,2020-02-23 01:00:19,20.63,-87.08,73.4,56,20,10.29
144,Pringsewu,ID,2020-02-23 01:01:30,-5.36,104.97,71.46,95,33,3.58
145,Hamilton,US,2020-02-23 00:48:56,39.18,-84.53,42.8,34,1,5.48
146,Lodja,CD,2020-02-23 01:01:31,-3.48,23.43,72.01,96,100,1.79
147,Grand Gaube,MU,2020-02-23 01:01:31,-20.01,57.66,75.99,94,20,2.24
148,Shache,CN,2020-02-23 01:01:31,38.42,77.24,37.99,43,0,5.48
149,Ulundi,ZA,2020-02-23 01:01:31,-28.34,31.42,64.35,90,100,16.42
150,Umkomaas,ZA,2020-02-23 01:01:32,-30.21,30.8,75.0,79,100,29.51
151,Kavieng,PG,2020-02-23 00:51:57,-2.57,150.8,84.09,71,0,8.39
152,Teknaf,BD,2020-02-23 01:01:32,20.86,92.31,60.75,47,0,1.72
153,Pimentel,PE,2020-02-23 01:01:33,-6.84,-79.93,66.2,29,85,17.22
154,Piacabucu,BR,2020-02-23 01:01:33,-10.41,-36.43,80.8,82,31,9.75
155,Cabo San Lucas,MX,2020-02-23 00:47:55,22.89,-109.91,80.6,32,40,11.41
156,Bathsheba,BB,2020-02-23 01:01:03,13.22,-59.52,77.0,83,20,5.82
157,Itoman,JP,2020-02-23 01:01:34,26.12,127.67,66.2,55,20,14.99
158,Isangel,VU,2020-02-23 00:52:44,-19.55,169.27,84.2,83,75,5.82
159,Keti Bandar,PK,2020-02-23 00:53:11,24.14,67.45,69.93,40,0,9.4
160,Bethel,US,2020-02-23 00:50:56,41.37,-73.41,43.0,64,5,7.36
161,Youkounkoun,GN,2020-02-23 01:01:35,12.53,-13.13,83.3,18,77,2.15
162,Shimoda,JP,2020-02-23 00:53:02,34.67,138.95,55.0,53,20,18.34
163,Ierapetra,GR,2020-02-23 01:01:36,35.01,25.74,51.8,62,75,19.46
164,Coihaique,CL,2020-02-23 00:53:07,-45.58,-72.07,69.8,32,0,4.7
165,Namibe,AO,2020-02-23 01:01:36,-15.2,12.15,75.79,77,100,13.71
166,Ahuimanu,US,2020-02-23 01:01:36,21.44,-157.84,80.6,73,40,12.75
167,Dikson,RU,2020-02-23 00:52:13,73.51,80.55,16.36,93,100,24.7
168,Rosetta,EG,2020-02-23 00:46:45,31.4,30.42,57.38,62,1,8.46
169,Nelson Bay,AU,2020-02-23 01:01:37,-32.72,152.15,79.0,53,100,10.29
170,Mandurah,AU,2020-02-23 01:01:37,-32.55,115.7,80.01,65,30,11.41
171,Anadyr,RU,2020-02-23 00:52:15,64.75,177.48,-16.01,68,12,2.24
172,Onguday,RU,2020-02-23 01:01:37,50.75,86.15,17.49,95,100,6.24
173,Puerto Baquerizo Moreno,EC,2020-02-23 01:01:38,-0.9,-89.6,77.0,100,75,4.7
174,Vila Velha,BR,2020-02-23 00:47:09,-20.33,-40.29,78.8,88,90,11.41
175,Monrovia,LR,2020-02-23 01:01:38,6.3,-10.8,77.0,94,20,7.27
176,Marawi,PH,2020-02-23 01:01:38,8.0,124.29,79.0,75,22,5.01
177,Kaitangata,NZ,2020-02-23 00:52:31,-46.28,169.85,64.0,55,91,13.0
178,Manggar,ID,2020-02-23 01:01:39,-2.88,108.27,81.77,79,0,11.99
179,Kununurra,AU,2020-02-23 00:57:39,-15.77,128.73,89.6,49,24,3.36
180,Narsaq,GL,2020-02-23 00:51:43,60.92,-46.05,21.2,67,100,11.41
181,Suluq,LY,2020-02-23 01:01:39,31.67,20.25,50.41,64,28,11.41
182,Seoul,KR,2020-02-23 00:48:30,37.57,126.98,35.6,59,1,2.24
183,Hofn,IS,2020-02-23 00:51:54,64.25,-15.21,31.84,83,100,4.79
184,Whitianga,NZ,2020-02-23 01:01:40,-36.83,175.7,75.0,56,12,10.0
185,Shestakovo,RU,2020-02-23 01:01:40,56.49,103.96,5.97,97,88,2.55
186,Ampanihy,MG,2020-02-23 01:01:40,-24.7,44.75,75.34,80,24,12.41
