,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
52,Hastings,GB,2020-02-23 21:21:30,50.86,0.57,48.0,81,100,5.82,overcast clouds,0.0,0.0
53,Bambous Virieux,MU,2020-02-23 21:20:47,-20.34,57.76,77.0,88,40,4.7,scattered clouds,0.0,0.0
54,Rondonopolis,BR,2020-02-23 21:25:37,-16.47,-54.64,78.04,93,100,4.63,moderate rain,5.25,0.0
55,Guiratinga,BR,2020-02-23 21:25:38,-16.35,-53.76,78.26,92,100,4.41,moderate rain,3.69,0.0
56,Tuktoyaktuk,CA,2020-02-23 21:33:53,69.45,-133.04,-5.8,70,75,13.87,light snow,0.0,0.0
57,Seminole,US,2020-02-23 21:25:38,28.71,-81.21,77.0,46,40,12.75,scattered clouds,0.0,0.0
58,Mizan Teferi,ET,2020-02-23 21:25:38,6.98,35.58,68.0,80,40,3.58,scattered clouds,0.0,0.0
59,Olonets,RU,2020-02-23 21:25:38,60.98,32.97,34.25,96,100,8.39,light snow,0.0,0.31
60,Georgetown,MY,2020-02-23 21:20:40,5.41,100.34,78.8,69,20,6.93,few clouds,0.0,0.0
61,Olafsvik,IS,2020-02-23 21:25:39,64.89,-23.71,30.24,95,100,6.78,snow,0.0,2.31
62,Balabac,PH,2020-02-23 21:25:39,7.99,117.06,79.74,78,8,14.94,light rain,0.19,0.0
63,Ngukurr,PH,2020-02-23 21:25:39,7.99,117.06,79.74,78,8,14.94,light rain,0.0,0.0
64,Talnakh,RU,2020-02-23 21:25:39,69.49,88.4,15.8,92,75,29.08,shower snow,0.0,0.0
65,Itaituba,BR,2020-02-23 21:25:40,-4.28,-55.98,86.0,74,40,8.05,scattered clouds,0.0,0.0
66,Salalah,OM,2020-02-23 21:25:40,17.02,54.09,75.2,69,0,4.7,clear sky,0.0,0.0
67,Reconquista,AR,2020-02-23 21:25:40,-29.15,-59.65,85.71,23,0,5.91,clear sky,0.0,0.0
68,Taree,AU,2020-02-23 21:25:40,-31.9,152.47,68.0,100,90,4.7,light rain,0.0,0.0
69,Baruun-Urt,MN,2020-02-23 21:25:40,46.68,113.28,13.24,84,100,5.7,overcast clouds,0.0,0.0
70,Barentsburg,MN,2020-02-23 21:25:40,46.68,113.28,13.24,84,100,5.7,overcast clouds,0.0,0.0
71,Roma,US,2020-02-23 21:20:59,43.21,-75.46,48.0,33,1,9.17,clear sky,0.0,0.0
72,Kruisfontein,ZA,2020-02-23 21:25:41,-34.0,24.73,56.48,78,0,4.38,clear sky,0.0,0.0
73,New Norfolk,AU,2020-02-23 21:33:56,-42.78,147.06,59.0,76,75,5.82,broken clouds,0.0,0.0
74,Nara,JP,2020-02-23 21:25:41,34.69,135.8,41.0,86,20,2.24,few clouds,0.0,0.0
75,Piacabucu,BR,2020-02-23 21:25:42,-10.41,-36.43,81.18,80,98,9.33,overcast clouds,0.0,0.0
76,Margate,GB,2020-02-23 21:21:17,51.38,1.39,48.0,60,100,3.36,overcast clouds,0.0,0.0
77,Cape Town,ZA,2020-02-23 21:33:57,-33.93,18.42,66.99,59,0,18.34,clear sky,0.0,0.0
78,Mocuba,MZ,2020-02-23 21:25:42,-16.84,36.99,74.43,96,100,1.61,overcast clouds,0.0,0.0
79,Ponta Delgada,PT,2020-02-23 21:25:42,37.73,-25.67,59.0,82,20,3.36,few clouds,0.0,0.0
80,Norsup,VU,2020-02-23 21:25:43,-16.07,167.38,86.0,70,40,6.93,scattered clouds,0.0,0.0
81,Port Blair,IN,2020-02-23 21:22:56,11.67,92.75,75.2,88,40,4.7,mist,0.0,0.0
82,Airai,TL,2020-02-23 21:23:47,-8.93,125.41,66.69,82,0,4.43,clear sky,0.0,0.0
83,Sevierville,US,2020-02-23 21:25:43,35.87,-83.56,55.4,32,40,5.82,scattered clouds,0.0,0.0
84,Hilo,US,2020-02-23 21:24:09,19.73,-155.09,78.8,61,75,12.75,broken clouds,0.0,0.0
85,Saint-Pierre,RE,2020-02-23 21:25:29,-21.34,55.48,75.2,78,0,5.82,clear sky,0.0,0.0
86,Okha,RU,2020-02-23 21:25:44,53.57,142.95,-5.69,100,2,7.43,clear sky,0.0,0.0
87,Naze,JP,2020-02-23 21:25:44,28.37,129.48,50.0,87,0,4.7,clear sky,0.0,0.0
88,Puerto Berrio,CO,2020-02-23 21:25:44,6.49,-74.4,84.88,63,70,4.54,broken clouds,0.0,0.0
89,Amderma,CO,2020-02-23 21:25:44,6.49,-74.4,84.88,63,70,4.54,broken clouds,0.0,0.0
90,East London,ZA,2020-02-23 21:25:44,-33.02,27.91,66.15,60,73,4.21,broken clouds,0.0,0.0
91,Madingou,CG,2020-02-23 21:25:45,-4.15,13.55,74.34,93,100,2.28,overcast clouds,0.0,0.0
92,Krasnoselkup,RU,2020-02-23 21:25:40,65.7,82.47,25.3,89,100,21.99,light snow,0.0,0.13
93,Dwarka,IN,2020-02-23 21:25:45,22.24,68.97,76.08,58,0,12.44,clear sky,0.0,0.0
94,Tautira,PF,2020-02-23 21:25:45,-17.73,-149.15,87.8,58,20,16.11,few clouds,0.0,0.0
95,Severo-Kurilsk,RU,2020-02-23 21:25:45,50.68,156.12,24.21,95,100,35.48,snow,0.0,2.75
96,Avera,US,2020-02-23 21:25:46,33.19,-82.53,62.6,23,40,4.7,scattered clouds,0.0,0.0
97,Paamiut,GL,2020-02-23 21:25:46,61.99,-49.67,16.54,65,100,5.82,overcast clouds,0.0,0.0
98,Alice Springs,AU,2020-02-23 21:24:05,-23.7,133.88,66.2,39,99,2.24,overcast clouds,0.0,0.0
